Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,1,2428,,TEAM 2428,0:20:54,Male,,Mark Cleaver,Ronald Harvey,Simon Merrill,Nick Tisinger,Heat3 3:30:00 PM,0:00:02,0:01:38,0:03:43,0:06:36,0:09:04,0:09:45,0:12:09,0:13:53,0:14:41,0:16:17,0:17:33,0:19:51,0:20:54
,2,2420,,TEAM 2420,0:26:00,Male,,Ahmad Alserawan,Rex Kon Yan tat,Martyn Pilkington,Ayumi Francesco Nichisato Lourdes,Heat3 3:30:00 PM,0:00:02,0:01:37,0:03:44,0:07:44,0:10:48,0:12:03,0:14:57,0:16:33,0:17:22,0:19:59,0:21:25,0:24:46,0:26:00
,3,2399,,TEAM 2399,0:26:35,Male,,Fayez Alkuzbari,Abdulrhman Almonajed,Lee Kah Xiong,Jacky Ng,Heat1 3:10:00 PM,0:00:02,0:01:40,0:04:17,0:07:58,0:11:36,0:12:35,0:15:20,0:16:57,0:18:33,0:21:03,0:22:31,0:25:24,0:26:35
,4,2401,,TEAM 2401,0:29:06,Male,,MARCUS TAN,MING JIE SIM,YONG CHUANG TAN,JIA YI ONG,Heat1 3:10:00 PM,0:00:03,0:01:51,0:04:43,0:09:24,0:12:53,0:14:04,0:17:06,0:19:05,0:21:27,0:24:04,0:25:30,0:28:00,0:29:06
,5,2427,,TEAM 2427,0:32:43,Male,,Mohamad Hafizuddin Mohamad Zubir,Akmal Idzham Syahrizal,Shazree Shafiq Abd Hamid,Naimi Noordin,Heat3 3:30:00 PM,0:00:03,0:02:27,0:05:41,0:10:20,0:14:27,0:16:55,0:19:52,0:21:59,0:23:41,0:26:10,0:27:44,0:31:35,0:32:43
,6,2421,,TEAM 2421,0:33:11,Male,,LUQMAN BIN SAHARUDDIN,Jabbar Iriadi,Syafiee Awang Jeffri,Alexander Mohd Puzi,Heat3 3:30:00 PM,0:00:03,0:01:43,0:04:33,0:08:47,0:12:44,0:14:29,0:18:37,0:20:40,0:22:38,0:26:29,0:27:43,0:31:29,0:33:11
,7,2403,,TEAM 2403,0:34:23,Male,,Muhammad Haziq Ashraf Norzahid,Muhammad Fiqri Azim Mohamed Asri,Muhammad Hasif Ausamah Darwish,Hafiz Affendi Abu Hassan,Heat1 3:10:00 PM,0:00:03,0:02:01,0:05:18,0:10:51,0:14:39,0:16:49,0:21:03,0:23:39,0:25:30,0:29:03,0:30:21,0:33:25,0:34:23
,8,2400,,TEAM 2400,0:34:31,Male,,Shamsul Anuar BIN ALIASH,Muhammad Danial Amir,Muhamad Zikry Danish Muhamad,Daniel Lee Han Yuan,Heat1 3:10:00 PM,0:00:03,0:01:44,0:04:54,0:10:28,0:14:03,0:15:30,0:19:16,0:21:16,0:22:38,0:26:38,0:28:23,0:32:45,0:34:31
,9,2413,,TEAM 2413,0:38:42,Male,,Hafiq Hidzuan Mohd Kamal,Ahmad Nur Ilham Anuar,Muhammad Syazwan,Erman Farith Md Ghazali,Heat2 3:20:00 PM,0:00:01,0:01:51,0:05:02,0:11:03,0:15:20,0:17:07,0:20:52,0:23:45,0:26:25,0:32:24,0:34:00,0:37:23,0:38:42
,10,2414,,TEAM 2414,0:38:54,Male,,Eddie Lew,Ariff Jamil,Edmund Tang,Hendrix Leong,Heat2 3:20:00 PM,0:00:00,0:01:53,0:04:45,0:11:22,0:14:29,0:15:36,0:18:54,0:21:38,0:23:52,0:32:06,0:33:51,0:37:32,0:38:54
