Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,1,2369,,TEAM 2369,0:29:07,Female,,Bella Zakri,Amanda Chen,Valery Koh,Ee Lin Yeo,Heat1 2:00:00 PM,0:00:01,0:01:44,0:04:06,0:08:10,0:12:06,0:13:11,0:15:59,0:18:35,0:20:21,0:23:06,0:24:42,0:27:51,0:29:07
,2,2376,,TEAM 2376,0:31:26,Female,,Hui Lian Chiew,Cui Ling Peh,Siow Hsia Tay,Sin Yee Loh,Heat2 2:10:00 PM,0:00:03,0:02:34,0:04:51,0:09:51,0:13:48,0:15:59,0:19:38,0:21:30,0:22:50,0:25:08,0:26:49,0:30:00,0:31:26
,3,2383,,TEAM 2383,0:31:58,Female,,Ezra Chua,Evelina Hashim,Sarah Iqbal,Jylene Tay,Heat2 2:10:00 PM,0:00:03,0:02:25,0:05:01,0:10:01,0:13:32,0:14:05,0:16:56,0:20:20,0:23:01,0:26:00,0:27:37,0:30:42,0:31:58
,4,2387,,TEAM 2387,0:33:02,Female,,Rebecca Simpson,Jade Gardner,Genevieve Grandadam,Ola Pawlicka,Heat3 2:20:00 PM,0:00:03,0:01:59,0:04:30,0:09:07,0:14:17,0:15:53,0:18:54,0:23:06,0:25:05,0:28:13,0:29:47,0:31:54,0:33:02
,5,2363,,TEAM 2363,0:33:21,Female,,Nurbazilah Ariffin,Nur Ili Athirah Ahmad Kamal,Nurul Ashikin Norisam,Nur Syuhaida Mat Daus,Heat1 2:00:00 PM,0:00:02,0:02:06,0:04:49,0:09:34,0:14:01,0:15:24,0:19:03,0:22:43,0:24:19,0:27:33,0:29:06,0:32:02,0:33:21
,6,2394,,TEAM 2394,0:33:58,Female,,Lee-Ann Toh,Wye Wah Wong,Cher-Ryl Lim,"Suet Fun, Karen Chong",Heat3 2:20:00 PM,0:00:02,0:02:37,0:05:36,0:09:55,0:14:38,0:16:03,0:19:36,0:20:36,0:25:36,0:28:19,0:30:04,0:32:57,0:33:58
,7,2381,,TEAM 2381,0:34:17,Female,,HSIEH JUNE KHOO,"YOKE LENG, JAMIE YAP",PUI SAN YONG,MAWARTI BINTI MUKIM,Heat2 2:10:00 PM,0:00:03,0:02:47,0:05:20,0:10:06,0:13:46,0:15:18,0:18:45,0:22:26,0:24:49,0:28:38,0:30:02,0:32:58,0:34:17
,8,2373,,TEAM 2373,0:34:36,Female,,Michelle Tan,Melissa Tan,Stephanie Chua,Imelda Ferdinand Regem,Heat2 2:10:00 PM,0:00:03,0:02:19,0:04:42,0:09:02,0:14:19,0:16:37,0:20:10,0:23:33,0:25:19,0:29:15,0:30:44,0:33:26,0:34:36
,9,2380,,TEAM 2380,0:35:10,Female,,Jin Ying Ng,Ying Yee Leong,Rou Min Khoong,Yi Min Khoong,Heat2 2:10:00 PM,0:00:04,0:02:08,0:04:54,0:10:43,0:16:04,0:17:04,0:20:28,0:22:38,0:24:41,0:29:35,0:31:02,0:33:59,0:35:10
,10,2398,,TEAM 2398,0:36:10,Female,,Fatin Jaafar,Azita Ali,Siti Hafizah Md Rifin,Nor Isnawaty Supaat,Heat3 2:20:00 PM,0:00:02,0:02:11,0:04:52,0:09:24,0:14:43,0:16:32,0:20:24,0:23:39,0:25:35,0:29:46,0:31:26,0:34:31,0:36:10
,11,2365,,TEAM 2365,0:36:53,Female,,Yani Amiza Shamdin,Wan Hazrinee Wan Hamidon,Isabel Fu Wai Nam,Joveyn Fung Sin Yee,Heat1 2:00:00 PM,0:00:02,0:02:14,0:05:01,0:11:27,0:16:26,0:17:35,0:21:17,0:24:11,0:26:00,0:30:26,0:32:08,0:35:38,0:36:53
,12,2374,,TEAM 2374,0:39:48,Female,,Badariah Zahidi,Shuhaila Padzil,Nadia Shahrul Annuar,Lynneve Lim,Heat2 2:10:00 PM,0:00:03,0:03:16,0:05:51,0:13:13,0:17:38,0:19:12,0:22:54,0:26:36,0:28:15,0:32:35,0:34:13,0:37:59,0:39:48
,13,2395,,TEAM 2395,0:39:49,Female,,Phaik San Lau,Cayra Jing Yi Tan,Yi han Low,Zi Qi Loo,Heat3 2:20:00 PM,0:00:03,0:02:09,0:05:08,0:14:38,0:19:58,0:21:40,0:25:21,0:28:04,0:29:26,0:32:29,0:34:05,0:38:06,0:39:49
,14,2382,,TEAM 2382,0:40:25,Female,,Jaclyn Choo,Farah Koh Siek Ee,Sharon Koh,Shin Lee,Heat2 2:10:00 PM,0:00:04,0:02:56,0:06:14,0:14:42,0:18:57,0:20:57,0:24:40,0:27:48,0:30:23,0:33:39,0:35:30,0:39:09,0:40:25
,15,2362,,TEAM 2362,0:41:27,Female,,Mariam Ghani,Charlene Fernandez,Fatin Mustaffa,Jany Fong Chui Ni,Heat1 2:00:00 PM,0:00:02,0:02:19,0:05:06,0:11:20,0:18:10,0:20:04,0:24:14,0:27:57,0:29:55,0:33:53,0:35:43,0:39:46,0:41:27
,16,2372,,TEAM 2372,0:42:50,Female,,Lychee Tan,Shir Ley Sam,Pei Yee Lim,Xiou Yan Sze,Heat1 2:00:00 PM,0:00:02,0:02:18,0:05:55,0:13:15,0:19:28,0:21:24,0:25:32,0:28:28,0:30:23,0:35:31,0:37:09,0:41:16,0:42:50
,17,2393,,TEAM 2393,0:43:00,Female,,Lai Lih Tyun,Hew Pei San,Tan Pey Ling,Chang Yook Lan,Heat3 2:20:00 PM,0:00:03,0:02:50,0:06:03,0:14:14,0:20:24,0:21:43,0:25:06,0:28:59,0:31:02,0:34:26,0:36:11,0:40:27,0:43:00
,18,2371,,TEAM 2371,0:43:14,Female,,Ivene Chong See Wan,Bong Manni,Chai Li Yi,Rachel Tan Xin Hui,Heat1 2:00:00 PM,0:00:03,0:02:16,0:05:48,0:13:55,0:18:44,0:19:57,0:23:47,0:27:15,0:29:40,0:35:29,0:37:24,0:41:33,0:43:14
,19,2417,,TEAM 2417,0:44:39,Female,,Deena Mugien,Nur Zarifah Mohamed Salib,Gayathiri,GovindasamyNur Fazera Hasim,Heat1 2:00:00 PM,0:00:02,0:02:14,0:05:00,0:09:30,0:15:07,0:17:04,0:21:15,0:24:35,0:27:46,0:36:04,0:37:57,0:42:01,0:44:39
,20,2384,,TEAM 2384,0:46:26,Female,,NOORELIA LAILEY AZHAR,SHARIFAH AISYAH SYED MOHAMED,NUR KAMILIA BINTI ROZLAN,AYU MASTURA KHAMIS,Heat3 2:20:00 PM,0:00:03,0:02:36,0:05:21,0:14:49,0:19:15,0:22:33,0:26:28,0:30:34,0:32:49,0:36:51,0:38:59,0:44:00,0:46:26
