Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,1,105,,MIRJAM VON ROHR,0:24:01,18 - 29,1,Female,Heat1 11:00:00 AM,0:00:01,0:01:49,0:03:34,0:05:30,0:09:14,0:09:52,0:12:22,0:14:41,0:16:48,0:18:44,0:20:24,0:22:51,0:24:01
,2,98,,PETRA ARVELA,0:26:29,30 - 39,1,Female,Heat1 11:00:00 AM,0:00:01,0:01:44,0:03:29,0:06:01,0:10:01,0:10:35,0:13:20,0:16:29,0:18:50,0:21:10,0:22:47,0:25:23,0:26:29
,3,141,,ELIZABETH MAY,0:30:49,30 - 39,2,Female,Heat4 11:30:00 AM,0:00:04,0:02:14,0:04:08,0:07:04,0:11:50,0:13:18,0:16:16,0:17:11,0:22:20,0:24:43,0:27:02,0:29:42,0:30:49
,4,138,,NATALIE LIM,0:32:29,30 - 39,3,Female,Heat4 11:30:00 AM,0:00:02,0:02:05,0:04:17,0:06:46,0:11:49,0:13:25,0:16:38,0:19:54,0:22:27,0:25:52,0:28:00,0:31:03,0:32:29
,5,163,,SHALINDA BEEVI,0:35:17,18 - 29,2,Female,Heat6 11:50:00 AM,0:00:04,0:01:52,0:04:28,0:07:45,0:12:19,0:13:27,0:16:45,0:20:14,0:21:35,0:28:51,0:30:59,0:34:10,0:35:17
,6,102,,LENA JAENTSCH,0:35:27,30 - 39,4,Female,Heat1 11:00:00 AM,0:00:01,0:01:51,0:03:40,0:06:52,0:11:24,0:12:39,0:15:46,0:20:33,0:25:22,0:28:42,0:30:45,0:33:57,0:35:27
,7,131,,SHIN YEE KAREN LEE,0:35:35,18 - 29,3,Female,Heat4 11:30:00 AM,0:00:03,0:02:10,0:04:11,0:08:10,0:12:59,0:14:33,0:17:18,0:22:48,0:26:35,0:29:24,0:31:16,0:34:08,0:35:35
,8,104,,YEW MEI CHERN,0:35:40,30 - 39,5,Female,Heat1 11:00:00 AM,0:00:01,0:01:55,0:04:32,0:07:53,0:12:50,0:13:58,0:17:22,0:21:13,0:25:48,0:29:12,0:31:13,0:34:20,0:35:40
,9,172,,HUI LIAN CHIEW,0:35:46,30 - 39,6,Female,Heat7 12:00:00 PM,0:00:03,0:02:15,0:04:26,0:07:39,0:13:04,0:15:12,0:18:24,0:22:22,0:26:12,0:29:00,0:31:16,0:34:23,0:35:46
,10,159,,CONSTANCE CHOW,0:36:13,40+,1,Female,Heat6 11:50:00 AM,0:00:02,0:02:03,0:04:19,0:08:48,0:15:31,0:17:07,0:20:21,0:23:44,0:25:30,0:29:51,0:31:42,0:34:39,0:36:13
,11,162,,EUGENE LIM,0:36:19,30 - 39,7,Female,Heat6 11:50:00 AM,0:00:03,0:02:07,0:04:10,0:07:43,0:11:55,0:13:38,0:16:54,0:21:20,0:26:09,0:29:56,0:31:55,0:34:53,0:36:19
,12,97,,NICOLETTE JOUBERT,0:36:41,30 - 39,8,Female,Heat1 11:00:00 AM,0:00:01,0:02:07,0:04:03,0:08:15,0:13:31,0:14:59,0:18:09,0:23:06,0:26:03,0:29:42,0:32:03,0:35:05,0:36:41
,13,110,,AMANDA CHEN,0:36:44,30 - 39,9,Female,Heat2 11:10:00 AM,0:00:03,0:01:59,0:04:37,0:08:29,0:14:09,0:15:50,0:19:20,0:22:36,0:26:18,0:29:10,0:31:28,0:34:58,0:36:44
,14,132,,CHRISTINE GUAN,0:37:05,18 - 29,4,Female,Heat4 11:30:00 AM,0:00:02,0:02:11,0:04:30,0:09:34,0:14:44,0:15:57,0:19:09,0:24:04,0:27:26,0:30:08,0:32:22,0:35:26,0:37:05
,15,116,,ARWA KADDUR,0:37:21,30 - 39,10,Female,Heat2 11:10:00 AM,0:00:01,0:02:02,0:04:05,0:07:18,0:12:38,0:13:58,0:17:28,0:22:53,0:26:11,0:30:36,0:33:01,0:35:49,0:37:21
,16,134,,TAHIRA NAJMUNISAA MUHAMMAD ZAID,0:38:19,30 - 39,11,Female,Heat4 11:30:00 AM,0:00:02,0:02:06,0:04:02,0:07:41,0:14:25,0:16:25,0:19:37,0:23:56,0:26:45,0:31:28,0:33:36,0:36:52,0:38:19
,17,100,,NOVA LUMANTOUW,0:38:45,40+,2,Female,Heat1 11:00:00 AM,0:00:01,0:01:55,0:04:40,0:09:24,0:13:53,0:15:41,0:19:10,0:23:52,0:27:27,0:31:18,0:33:48,0:36:59,0:38:45
,18,109,,JEMIMA DJATMIKO,0:39:15,40+,3,Female,Heat2 11:10:00 AM,0:00:01,0:01:58,0:04:12,0:07:52,0:13:36,0:14:50,0:18:01,0:20:28,0:25:41,0:27:32,0:34:50,0:37:54,0:39:15
,19,108,,JENNIFER HOEJGAARD,0:39:17,30 - 39,12,Female,Heat2 11:10:00 AM,0:00:01,0:02:08,0:04:26,0:08:55,0:15:07,0:16:58,0:20:44,0:25:07,0:26:46,0:32:26,0:34:33,0:37:50,0:39:17
,20,123,,NUR ILI ATHIRAH AHMAD KAMAL,0:40:18,30 - 39,13,Female,Heat3 11:20:00 AM,0:00:03,0:02:30,0:05:11,0:10:05,0:16:16,0:18:28,0:22:16,0:26:50,0:30:14,0:32:42,0:35:05,0:38:23,0:40:18
,21,112,,DEANNE NICOLE MONCADA,0:40:43,30 - 39,14,Female,Heat2 11:10:00 AM,0:00:01,0:01:53,0:04:21,0:08:28,0:15:47,0:17:35,0:21:27,0:25:44,0:30:24,0:33:56,0:35:57,0:39:25,0:40:43
,22,103,,AMIRA AYOB,0:40:50,30 - 39,15,Female,Heat1 11:00:00 AM,0:00:01,0:01:58,0:04:33,0:08:22,0:14:54,0:17:16,0:20:39,0:24:49,0:28:34,0:33:24,0:35:33,0:39:13,0:40:50
