Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row Erg,Deadball Burpee Over Target,Pendulum Shots,Bike Erg,Sandbag Gauntlet,Battle Rope Whips,Farmer's Carry,Agility Chamber,Ski Erg,Mule,Sled Push & Pull
1,G1759,JAMIE BARNETT,00:20:08.0,,All Ages,1,Male,1,Wave1 08:00:00,00:00:01.0,00:01:34.0,00:03:41.0,00:05:38.0,00:06:29.0,00:08:37.0,00:09:58.0,00:12:00.0,00:13:19.0,00:15:18.0,00:16:51.0,00:19:21.0,00:20:08.0
2,G1794,BILLY KEE HUANG NGIAM,00:22:02.0,,All Ages,2,Male,2,Wave3 08:20:00,00:00:05.0,00:02:18.0,00:04:35.0,00:06:30.0,00:07:25.0,00:09:51.0,00:11:34.0,00:13:40.0,00:14:51.0,00:17:12.0,00:19:04.0,00:20:34.0,00:22:02.0
3,G1866,ISAAC LEE,00:23:39.0,,All Ages,3,Male,3,Wave8 08:45:00,00:00:01.0,00:02:13.0,00:04:14.0,00:06:17.0,00:07:18.0,00:09:40.0,00:11:36.0,00:14:01.0,00:15:50.0,00:18:09.0,00:20:17.0,00:21:59.0,00:23:39.0
4,G1755,GAUTIER DE BRAEKELEER,00:23:43.0,,All Ages,4,Male,4,Wave1 08:00:00,00:00:00.0,00:01:57.0,00:04:06.0,00:06:34.0,00:07:43.0,00:10:01.0,00:12:16.0,00:14:39.0,00:16:05.0,00:18:13.0,00:20:04.0,00:21:42.0,00:23:43.0
5,G1851,YASSIN MOHD NOOR,00:23:47.0,,All Ages,5,Male,5,Wave7 08:40:00,00:00:02.0,00:02:25.0,00:04:46.0,00:06:52.0,00:08:24.0,00:10:57.0,00:12:39.0,00:14:26.0,00:16:06.0,00:18:22.0,,00:21:43.0,00:23:47.0
6,G1920,YOUWIIN YOGISH,00:24:30.0,,All Ages,6,Male,6,Wave11 09:00:00,00:00:02.0,00:02:14.0,00:04:17.0,00:06:41.0,00:07:45.0,00:10:15.0,00:12:00.0,00:14:51.0,00:16:30.0,00:18:46.0,00:20:41.0,00:22:20.0,00:24:30.0
7,G1758,JB GOURVIL,00:24:31.0,,All Ages,7,Male,7,Wave1 08:00:00,00:00:01.0,00:01:52.0,00:03:58.0,00:06:30.0,00:07:26.0,00:10:00.0,00:12:43.0,00:14:55.0,00:16:14.0,00:18:29.0,00:20:41.0,00:22:21.0,00:24:31.0
8,G1896,KIEN HAN LEE,00:24:36.0,,All Ages,8,Male,8,Wave10 08:55:00,00:00:01.0,00:02:16.0,00:04:39.0,00:07:10.0,00:08:16.0,00:10:48.0,00:12:59.0,00:14:41.0,00:16:25.0,00:18:37.0,00:20:55.0,00:22:21.0,00:24:36.0
9,G1798,CHRIS KHIK,00:25:16.0,,All Ages,9,Male,9,Wave3 08:20:00,00:00:03.0,00:02:24.0,00:04:34.0,00:06:34.0,00:07:33.0,00:10:17.0,00:12:12.0,00:15:03.0,00:16:41.0,00:18:53.0,00:20:52.0,00:22:16.0,00:25:16.0
10,G1762,ANDY JOHNSTON,00:25:26.0,,All Ages,10,Male,10,Wave1 08:00:00,00:00:01.0,00:01:50.0,00:03:42.0,00:06:04.0,00:07:07.0,00:09:29.0,00:11:47.0,00:14:26.0,00:16:53.0,00:19:31.0,00:21:50.0,00:23:16.0,00:25:26.0
11,G1803,CHIC WERN NG,00:26:43.0,,All Ages,11,Male,11,Wave4 08:25:00,00:00:02.0,00:01:57.0,00:04:13.0,00:06:33.0,00:07:33.0,00:10:21.0,00:12:20.0,00:14:05.0,00:16:50.0,00:19:07.0,00:21:58.0,00:23:29.0,00:26:43.0
12,G1768,JAY JEE LOONG,00:26:50.0,,All Ages,12,Male,12,Wave2 08:10:00,00:00:01.0,00:02:14.0,00:04:48.0,00:08:00.0,00:09:21.0,00:12:08.0,00:14:07.0,00:15:44.0,00:18:10.0,00:20:53.0,00:23:18.0,00:24:52.0,00:26:50.0
13,G1790,DARREN ONG CHONG KIAT,00:26:50.0,,All Ages,13,Male,13,Wave3 08:20:00,00:00:02.0,00:02:21.0,00:04:42.0,00:07:20.0,00:08:57.0,00:11:25.0,00:13:47.0,00:16:08.0,00:18:48.0,00:21:14.0,00:23:12.0,00:25:06.0,00:26:50.0
14,G1766,JULIUS ONG,00:27:12.0,,All Ages,14,Male,14,Wave2 08:10:00,00:00:03.0,00:02:25.0,00:05:00.0,00:08:04.0,00:09:41.0,00:12:24.0,00:14:37.0,00:16:43.0,00:18:49.0,00:21:09.0,00:23:10.0,00:24:38.0,00:27:12.0
15,G1760,BENJAMIN LOW WAI KHEEN,00:27:23.0,,All Ages,15,Male,15,Wave1 08:00:00,00:00:01.0,00:02:01.0,00:04:22.0,00:06:52.0,00:08:09.0,00:11:06.0,00:13:04.0,00:15:26.0,00:17:15.0,00:19:24.0,00:21:45.0,00:23:15.0,00:27:23.0
16,G1820,TERIMUNITE CHANDRAN,00:27:24.0,,All Ages,16,Male,16,Wave5 08:30:00,00:00:02.0,00:02:02.0,00:04:27.0,00:08:02.0,00:09:56.0,00:13:04.0,00:15:10.0,00:17:03.0,00:18:46.0,00:21:09.0,00:23:11.0,00:24:43.0,00:27:24.0
17,G1872,MUHAMMAD KHAIRUDDIN AZWI,00:27:38.0,,All Ages,17,Male,17,Wave8 08:45:00,00:00:01.0,00:02:33.0,00:04:59.0,00:07:47.0,00:09:53.0,00:12:19.0,00:14:21.0,00:16:59.0,00:18:50.0,00:21:14.0,00:23:17.0,00:24:52.0,00:27:38.0
18,G1937,YUN HARN CHENG,00:27:48.0,,All Ages,18,Male,18,Wave12 09:05:00,00:00:01.0,00:02:24.0,00:04:55.0,00:07:39.0,00:08:58.0,00:11:50.0,00:14:11.0,00:16:16.0,00:18:35.0,00:20:46.0,00:23:17.0,00:25:05.0,00:27:48.0
19,G1812,ADAM YEAP,00:27:48.0,,All Ages,19,Male,19,Wave4 08:25:00,00:00:01.0,00:02:42.0,00:05:15.0,00:08:10.0,00:09:26.0,00:12:20.0,00:14:46.0,00:17:21.0,00:19:41.0,00:21:53.0,00:24:00.0,00:25:57.0,00:27:48.0
20,G1926,HUZAIFAH ABD RAHIM,00:27:50.0,,All Ages,20,Male,20,Wave11 09:00:00,00:00:01.0,00:02:16.0,00:04:41.0,00:08:04.0,00:09:18.0,00:11:59.0,00:15:07.0,00:17:33.0,00:19:09.0,00:21:26.0,,00:24:59.0,00:27:50.0
