Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,1,185,,DARWIN ALQUIZA,0:27:59,All Ages,1,Male,Heat1 1:00:00 PM,0:00:03,0:02:23,0:04:35,0:06:35,0:10:14,0:12:19,0:15:21,0:17:07,0:17:48,0:22:06,0:24:08,0:26:57,0:27:59
,2,231,,EUGENE THAM,0:28:34,All Ages,2,Male,Heat5 1:40:00 PM,0:00:03,0:02:02,0:03:49,0:05:33,0:10:01,0:11:24,0:14:31,0:16:47,0:19:00,0:22:44,0:24:43,0:27:39,0:28:34
,3,195,,HASSAN MOHAMED,0:30:35,All Ages,3,Male,Heat2 1:10:00 PM,0:00:03,0:02:13,0:04:13,0:05:58,0:09:33,0:11:12,0:14:30,0:17:53,0:20:13,0:23:31,0:26:18,0:29:14,0:30:35
,4,219,,LAWRENCE YOONG,0:30:48,All Ages,4,Male,Heat4 1:30:00 PM,0:00:04,0:02:17,0:04:18,0:06:07,0:08:46,0:11:12,0:18:07,0:20:26,0:22:42,0:24:55,0:26:57,0:29:57,0:30:48
,5,186,,OMAR ALMUTAIRI,0:31:38,All Ages,5,Male,Heat1 1:00:00 PM,0:00:02,0:02:17,0:04:16,0:06:18,0:10:18,0:12:17,0:15:27,0:17:49,0:20:54,0:25:47,0:27:55,0:30:39,0:31:38
,6,199,,TAN KOK THAI,0:32:27,All Ages,6,Male,Heat2 1:10:00 PM,0:00:03,0:02:12,0:04:14,0:06:08,0:11:40,0:13:55,0:16:53,0:20:24,0:23:02,0:25:55,0:28:24,0:31:29,0:32:27
,7,302,,ABDUL MUIZ BIN HJ UNTONG,0:32:53,All Ages,7,Male,Heat10 2:30:00 PM,0:00:03,0:02:36,0:05:02,0:07:13,0:12:19,0:15:18,0:18:43,0:20:53,0:23:16,0:26:26,0:28:36,0:31:41,0:32:53
,8,258,,MOHD HAMBALI MOHD JAILANI,0:33:18,All Ages,8,Male,Heat7 2:00:00 PM,0:00:03,0:02:31,0:04:30,0:06:30,0:11:52,0:15:01,0:18:38,0:21:05,0:23:43,0:26:47,0:29:11,0:32:18,0:33:18
,9,257,,YOKE TSUNG TAN,0:33:19,All Ages,9,Male,Heat7 2:00:00 PM,0:00:05,0:02:38,0:04:29,0:06:58,0:10:53,0:12:37,0:15:21,0:17:54,0:19:55,0:26:53,0:29:20,0:32:24,0:33:19
,10,213,,JEETU SACH,0:33:39,All Ages,10,Male,Heat3 1:20:00 PM,0:00:02,0:02:37,0:04:58,0:07:08,0:12:47,0:14:37,0:17:39,0:20:17,0:22:47,0:27:28,0:29:47,0:32:30,0:33:39
,11,226,,KENNY LAU,0:33:56,All Ages,11,Male,Heat4 1:30:00 PM,0:00:04,0:02:15,0:04:24,0:06:29,0:10:57,0:14:28,0:18:30,0:20:36,0:23:00,0:26:56,0:29:01,0:32:44,0:33:56
,12,240,,MUHAMMAD UWAIS MOKHTAR,0:34:01,All Ages,12,Male,Heat5 1:40:00 PM,0:00:04,0:02:12,0:03:55,0:06:00,0:11:09,0:14:14,0:18:15,0:20:34,0:23:17,0:26:25,0:28:44,0:32:32,0:34:01
,13,273,,MUHAMMAD NAZRI,0:34:31,All Ages,13,Male,Heat8 2:10:00 PM,0:00:03,0:02:17,0:04:18,0:06:34,0:11:26,0:14:58,0:18:47,0:21:07,0:24:05,0:26:52,0:29:42,0:33:31,0:34:31
,14,267,,FOONG TAT KIEN,0:34:43,All Ages,14,Male,Heat8 2:10:00 PM,0:00:02,0:01:55,0:04:23,0:06:35,0:12:52,0:14:38,,0:21:35,0:24:19,0:27:54,0:30:02,0:33:53,0:34:43
,15,256,,BENJAMIN LOW,0:34:49,All Ages,15,Male,Heat7 2:00:00 PM,0:00:04,0:02:25,0:04:25,0:06:35,0:11:20,0:14:03,0:17:16,0:19:46,0:22:32,0:27:30,0:30:02,0:33:53,0:34:49
,16,188,,SHAKEEL UMAR,0:35:02,All Ages,16,Male,Heat1 1:00:00 PM,0:00:03,0:02:02,0:03:59,0:05:52,0:10:53,0:13:46,0:17:10,0:19:56,0:21:01,0:27:57,0:30:10,0:33:40,0:35:02
,17,300,,BAHARUDIN NORDIN,0:35:15,All Ages,17,Male,Heat10 2:30:00 PM,0:00:04,0:02:28,0:04:21,0:07:11,0:12:14,0:15:29,0:19:20,0:21:20,0:23:54,0:28:05,0:30:13,0:34:09,0:35:15
,18,305,,JAY JEE LOONG,0:35:17,All Ages,18,Male,Heat11 2:40:00 PM,0:00:03,0:02:15,0:04:35,0:07:02,0:11:48,0:13:54,0:17:39,0:19:48,0:21:55,0:29:01,0:31:36,0:34:29,0:35:17
