Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,1,2473,,TEAM 2473,0:27:31,Mixed,,Nicolette Joubert,Ludovic Guyonvarch,Fadzeel Munir,Shalinda Beevi,Heat4 4:30:00 PM,0:00:02,0:01:42,0:03:59,0:07:42,0:11:33,0:12:42,0:16:08,0:18:12,0:19:09,0:21:39,0:23:06,0:26:21,0:27:31
,2,2451,,TEAM 2451,0:28:37,Mixed,,Oscar Yeong,Simon Chang,Eugene Lim,Jean Lam,Heat2 4:10:00 PM,0:00:02,0:02:09,0:05:13,0:09:06,0:12:05,0:13:31,0:16:33,0:18:32,0:19:59,0:21:57,0:23:36,0:27:25,0:28:37
,3,2436,,TEAM 2436,0:31:09,Mixed,,Aryzeadora Rahim Dé Luz,Nadia Azahari,Christoph Lex,Quentin Cloarec,Heat1 4:00:00 PM,0:00:01,0:01:40,0:04:03,0:07:28,0:09:58,0:10:17,0:12:33,0:15:25,0:18:27,0:24:03,0:25:31,0:29:26,0:31:09
,4,2452,,TEAM 2452,0:31:44,Mixed,,Pouya Hassandarvish,Yen Ching Tan,Jing Xuan Teh,Hidayat Ismail,Heat2 4:10:00 PM,0:00:03,0:02:08,0:06:15,0:10:27,0:14:27,0:16:11,0:19:51,0:22:36,0:23:44,0:26:24,0:27:53,0:30:42,0:31:44
,5,2480,,TEAM 2480,0:31:46,Mixed,,Diaa Almujaned,Mohd Zairam Neezar Bin Zakaria,Leyana Kamarudin,Arwa Kaddur,Heat5 4:40:00 PM,0:00:02,0:02:02,0:04:55,0:08:27,0:12:37,0:13:54,0:17:19,0:19:49,0:21:24,0:24:02,0:25:59,0:30:35,0:31:46
,6,2458,,TEAM 2458,0:32:12,Mixed,,Victor Chan,Chris Greenough,Mali Flower,Zoe Harris,Heat3 4:20:00 PM,0:00:03,0:02:25,0:05:13,0:11:08,0:13:39,0:14:20,0:17:37,0:20:35,0:22:14,0:25:32,0:27:03,0:30:49,0:32:12
,7,2442,,TEAM 2442,0:32:36,Mixed,,Ben Lum,Sacha Carmen,Pasree Lee Sue Ching,Eugene Soo,Heat2 4:10:00 PM,0:00:02,0:02:23,0:06:01,0:11:55,0:16:00,0:17:50,0:21:34,0:23:22,0:24:34,0:26:58,0:28:28,0:31:36,0:32:36
,8,2477,,TEAM 2477,0:33:13,Mixed,,Aneesa Jamil,MEOR MUHAMMAD HAKIMI ABD MALIK,MEI EE SEE,YONG ZHONG WONG,Heat5 4:40:00 PM,0:00:03,0:02:02,0:04:32,0:08:14,0:12:13,0:14:25,0:19:04,0:21:20,0:23:15,0:26:26,0:27:56,0:31:49,0:33:13
,9,2449,,TEAM 2449,0:33:22,Mixed,,Greg How,Poju Yap,Ethan Goh,Jessie Liew,Heat2 4:10:00 PM,0:00:02,0:01:46,0:04:06,0:07:37,0:13:32,0:15:30,0:20:00,0:21:59,0:23:20,0:26:36,0:28:16,0:32:09,0:33:22
,10,2434,,TEAM 2434,0:33:42,Mixed,,Szu Ler (Asher) Tan,Weng Kei Chan,Foo Seng Hue,Budiman Rosli,Heat1 4:00:00 PM,0:00:02,0:01:58,0:04:38,0:08:04,0:13:15,0:15:13,0:19:49,0:21:36,0:23:31,0:26:03,0:27:43,0:32:18,0:33:42
,11,2453,,TEAM 2453,0:33:53,Mixed,,Mei sum Mitchell chong,Boon hoe Tan,Mei leng Low,Hon loong Ng,Heat3 4:20:00 PM,0:00:02,0:02:11,0:06:04,0:11:46,0:14:44,0:16:10,0:19:34,0:22:01,0:24:08,0:26:54,0:28:34,0:32:32,0:33:53
,12,2475,,TEAM 2475,0:34:03,Mixed,,Jon Koo,Shea Ling Tan,Chris Abeysekera,Ping Lynn Lok,Heat4 4:30:00 PM,0:00:02,0:02:01,0:05:14,0:10:38,0:14:11,0:15:45,0:19:33,0:21:47,0:23:42,0:27:33,0:29:06,0:32:25,0:34:03
,13,2482,,TEAM 2482,0:35:30,Mixed,,Muhammad Nur Amin Mohd Razali,Muhammad Khairullah,Chen Hin Lan,Louisa Yi Mun Chua,Heat1 4:00:00 PM,0:00:01,0:02:11,0:05:50,0:11:51,0:14:35,0:16:09,0:20:24,0:22:14,0:24:06,0:27:25,0:29:11,0:33:47,0:35:30
,14,2435,,TEAM 2435,0:35:46,Mixed,,Glenn Rianto,Ho Kah Leng,Jesmine Cheong,Douglas De Alwis,Heat1 4:00:00 PM,0:00:02,0:01:58,0:05:15,0:10:35,0:14:33,0:15:38,0:18:52,0:21:01,0:22:40,0:27:53,0:29:27,0:33:41,0:35:46
,15,2479,,TEAM 2479,0:37:04,Mixed,,LOO HOI LOONG,WONG LEE WEE,CHOK YET TING,LIEW KOK SUM,Heat5 4:40:00 PM,0:00:02,0:02:01,0:04:37,0:08:51,0:13:51,0:15:56,0:19:43,0:22:57,0:25:14,0:28:30,0:30:18,0:35:13,0:37:04
