Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,1,34,,TANYA TOLMAN,0:26:06,All Ages,1,Female,Heat3 8:30:00 AM,0:00:01,0:02:06,0:03:26,0:05:06,0:09:32,0:11:01,0:13:25,0:15:28,0:17:41,0:20:46,0:22:52,0:25:08,0:26:06
,2,2,,STEPHANIE CHUA,0:26:37,All Ages,2,Female,Heat1 8:00:00 AM,0:00:00,0:02:03,0:03:47,0:05:35,0:10:10,0:12:14,,0:17:39,0:19:41,0:21:47,0:23:53,0:26:08,0:27:07
,3,69,,HUI YUEN VIVIEN CHENG,0:26:59,All Ages,3,Female,Heat6 9:15:00 AM,0:00:01,0:02:10,0:03:41,0:05:58,0:09:46,0:11:10,0:13:46,0:14:55,0:18:58,0:21:53,0:23:54,0:26:06,0:26:59
,4,60,,ZOEY WONG,0:27:20,All Ages,4,Female,Heat5 9:00:00 AM,0:00:02,0:03:00,0:04:38,0:07:12,0:10:59,0:12:35,0:15:00,0:17:16,0:19:21,0:22:02,0:24:21,0:26:26,0:27:20
,5,36,,KATE SARGINSON,0:27:54,All Ages,5,Female,Heat3 8:30:00 AM,0:00:02,0:02:14,0:03:41,0:06:15,0:09:58,,0:14:11,0:17:24,0:19:34,0:22:37,0:24:29,0:26:52,0:27:54
,6,47,,MELISSA TEOH,0:28:35,All Ages,6,Female,Heat4 8:45:00 AM,0:00:02,0:02:20,0:04:10,0:05:59,0:10:53,0:12:35,0:15:23,0:18:06,0:20:23,0:22:48,0:25:03,0:27:44,0:28:35
,7,25,,VERN RU KHU,0:29:02,All Ages,7,Female,Heat3 8:30:00 AM,0:00:01,0:02:19,0:04:07,0:06:43,0:10:46,0:12:21,0:14:57,0:18:03,0:19:42,0:23:04,0:25:38,0:28:12,0:29:02
,8,51,,AV SHARASWATHY SARAH ANG,0:29:59,All Ages,8,Female,Heat5 9:00:00 AM,0:00:02,0:02:49,0:04:50,0:07:39,0:13:04,0:15:15,0:18:36,0:21:25,,,,0:26:00,0:29:59
,9,41,,BRENDA UNDAN,0:30:41,All Ages,9,Female,Heat4 8:45:00 AM,0:00:01,0:02:21,0:03:58,0:06:23,0:11:07,0:13:10,0:15:35,0:19:52,0:22:08,0:24:52,0:27:07,0:29:22,0:30:41
,10,24,,NADIA ZAINAL ABIDIN,0:30:54,All Ages,10,Female,Heat2 8:15:00 AM,0:00:02,0:02:35,0:04:17,0:06:35,0:12:47,0:14:53,0:17:58,0:20:07,0:22:40,0:24:54,0:27:14,0:30:01,0:30:54
,11,71,,AMBER ONG,0:31:00,All Ages,11,Female,Heat6 9:15:00 AM,0:00:02,0:02:34,0:04:01,0:06:14,0:09:50,0:11:56,0:14:25,0:16:37,0:19:44,0:24:52,0:27:12,0:29:50,0:31:00
,12,119,,CINDY GAN GAIK LIN,0:31:24,All Ages,12,Female,Heat8 9:45:00 AM,0:00:01,0:02:20,0:04:10,0:06:29,0:11:15,0:13:27,0:16:12,0:18:08,0:20:30,0:25:34,0:27:46,0:30:26,0:31:24
,13,27,,FARAH ISMAIL,0:31:54,All Ages,13,Female,Heat3 8:30:00 AM,0:00:03,0:02:40,0:04:27,0:06:48,0:11:24,0:13:40,0:17:04,0:19:40,0:22:03,0:26:08,0:28:24,0:30:56,0:31:54
,14,13,,LIM SWEE FONG,0:32:08,All Ages,14,Female,Heat2 8:15:00 AM,0:00:01,0:02:27,0:03:56,0:06:24,0:09:24,0:14:10,0:17:21,0:19:57,0:21:58,0:26:23,0:28:44,0:31:05,0:32:08
,15,57,,SING SIANG LIM,0:32:10,All Ages,15,Female,Heat5 9:00:00 AM,0:00:01,0:02:27,0:04:06,0:06:19,0:12:02,0:13:52,0:16:22,0:19:46,0:23:10,0:26:05,0:28:54,0:31:17,0:32:10
